PK001,19-Jan-18,10:00,NV6294,D,321,19-Jan-18,12:40,NV3118,I,QFL,NGN
PK002,19-Jan-18,10:00,NV898,D,33E,19-Jan-18,12:30,NV898,I,XOA,GDP
PK003,19-Jan-18,10:05,GN0471,D,73A,19-Jan-18,11:20,GN0460,D,AIB,AIB
PK004,19-Jan-18,10:05,NV6513,D,320,19-Jan-18,12:30,NV305,D,DUV,DUV
PK005,19-Jan-18,10:10,GN0411,D,73H,19-Jan-18,12:00,GN0236,D,TXB,SJA
PK006,19-Jan-18,10:10,NV6443,D,325,19-Jan-18,12:15,NV6144,I,TAY,JDO
PK007,19-Jan-18,10:15,NV3120,D,73H,19-Jan-18,11:15,NV3120,I,XVI,GTA
PK008,19-Jan-18,10:15,NV632,D,325,19-Jan-18,11:45,NV632,I,YJZ,OSU
PK009,19-Jan-18,10:20,GN0495,D,73A,19-Jan-18,11:30,GN0208,D,OOH,BPH
PK010,19-Jan-18,10:20,NV323,I,325,19-Jan-18,11:25,NV6390,D,NOM,AVI
PK011,19-Jan-18,10:20,NV687,I,325,19-Jan-18,11:25,NV618,I,IOE,ILH
PK012,19-Jan-18,10:25,NV6731,D,325,19-Jan-18,12:15,NV6118,I,ISC,UQF
PK013,19-Jan-18,10:25,NV820,D,320,19-Jan-18,11:35,NV820,I,MIX,OHP
PK014,19-Jan-18,10:30,GN0457,D,738,19-Jan-18,13:05,GN0656,D,DHP,XVU
PK015,19-Jan-18,10:30,NV858,D,73H,19-Jan-18,12:15,NV858,I,LNH,LJY
PK016,19-Jan-18,10:35,NV6713,D,320,19-Jan-18,12:25,NV6713,D,TIF,AIB
PK017,19-Jan-18,10:40,GN0271,D,73H,19-Jan-18,12:00,GN0492,D,DHR,LXM
PK018,19-Jan-18,10:40,NV303,I,320,19-Jan-18,12:30,NV303,D,OHP,YJZ
PK019,19-Jan-18,10:45,NV643,I,320,19-Jan-18,12:05,NV6770,D,GVL,EMD
PK020,19-Jan-18,11:00,NV305,I,319,19-Jan-18,12:15,NV6316,D,IJK,ITO
PK021,19-Jan-18,11:00,NV6148,D,320,19-Jan-18,12:20,NV6148,I,DUV,DKV
PK022,19-Jan-18,11:00,NV639,I,319,19-Jan-18,12:50,NV3194,D,PLK,UTO
PK023,19-Jan-18,11:00,NV6785,D,320,19-Jan-18,12:15,NV614,I,EMD,ILH
PK024,19-Jan-18,11:20,NV6535,D,320,19-Jan-18,13:05,NV6488,D,DLH,TZY
PK025,19-Jan-18,11:25,NV841,I,325,19-Jan-18,13:10,NV398,I,LJY,PLB
PK026,19-Jan-18,11:55,NV835,I,325,19-Jan-18,13:15,NV610,I,ILH,ILH
PK027,19-Jan-18,12:20,NV6749,D,320,19-Jan-18,13:25,NV6510,D,IEH,MZJ
PK028,19-Jan-18,12:20,NV867,D,33E,19-Jan-18,15:45,NV6116,I,LNH,UQF
PK029,19-Jan-18,12:25,GN0253,D,73A,19-Jan-18,13:35,GN0204,D,CQF,TIF
PK030,19-Jan-18,12:25,NV3703,I,73H,19-Jan-18,13:55,NV3703,D,OHP,XVI
PK031,19-Jan-18,12:40,GN0491,D,738,19-Jan-18,15:50,GN0326,D,LXM,AVI
PK032,19-Jan-18,12:55,NV674,D,33L,19-Jan-18,14:25,NV674,I,QFL,EFM
PK033,19-Jan-18,13:00,GN0201,D,73H,19-Jan-18,14:20,GN0250,D,KOA,YNO
PK034,19-Jan-18,13:05,NV3287,D,73E,19-Jan-18,16:30,NV6556,D,ARA,LXF
PK035,19-Jan-18,13:05,NV6165,I,323,19-Jan-18,14:10,NV6722,D,UBF,EMD
PK036,19-Jan-18,13:10,GN0235,D,73H,19-Jan-18,14:45,GN938,I,UWT,JDO
PK037,19-Jan-18,13:15,NV3266,D,325,19-Jan-18,14:15,NV3269,D,YJZ,YJZ
PK038,19-Jan-18,13:20,NV6155,I,320,19-Jan-18,14:25,NV6494,D,QVT,AZJ
PK039,19-Jan-18,13:25,NV6735,D,73E,19-Jan-18,14:30,NV6198,I,EMD,GVL
PK040,19-Jan-18,13:40,GN913,I,73H,19-Jan-18,19:30,GN942,I,UTB,ILU
PK041,19-Jan-18,13:40,NV6719,D,320,19-Jan-18,14:50,NV6718,D,IJB,TIF
PK042,19-Jan-18,13:50,GN932,D,738,19-Jan-18,14:55,GN932,I,DHP,LJY
PK043,19-Jan-18,13:50,NV383,I,321,19-Jan-18,15:30,NV383,D,OSU,QFL
PK044,19-Jan-18,13:55,NV6153,I,325,19-Jan-18,14:45,*****,D,JDO,***
PK045,19-Jan-18,13:55,NV6727,D,320,19-Jan-18,14:55,NV6762,D,ZLI,ZOK
PK046,19-Jan-18,14:10,NV6575,D,320,19-Jan-18,15:20,NV6574,D,IGF,IGF
PK047,19-Jan-18,14:20,NV3654,D,73E,19-Jan-18,15:25,NV6318,D,XVI,MAI
PK048,19-Jan-18,14:25,NV6171,I,325,19-Jan-18,16:15,NV6742,D,DKV,GPD
PK049,19-Jan-18,14:25,NV631,I,319,19-Jan-18,15:40,NV6378,D,OHT,ZCQ
PK050,19-Jan-18,14:30,NV387,I,319,19-Jan-18,16:30,NV6614,D,NZK,HZT
PK051,19-Jan-18,14:35,NV6359,D,320,19-Jan-18,15:35,NV6716,D,EBU,INJ
